127.0.0.1 - - [15/Jan/2018:19:28:33 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:28:39 +0900] "GET /sagaone/ HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:28:41 +0900] "GET /sagaone/StartAction.action HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:28:42 +0900] "GET /sagaone/css/sagaone_logo.png HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:28:42 +0900] "GET /sagaone/css/style.css HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "POST /sagaone/ItemAction.action HTTP/1.1" 200 6795
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/notepc1.jpg HTTP/1.1" 200 5530
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/mausu.jpg HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/camera1.jpg HTTP/1.1" 200 132225
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/outo.jpg HTTP/1.1" 200 33280
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/kokoro.jpg HTTP/1.1" 200 11001
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/keyboad1.jpg HTTP/1.1" 200 326513
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/kabe.jpg HTTP/1.1" 200 40874
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/camera.jpg HTTP/1.1" 200 330933
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/hitowougokasu.jpg HTTP/1.1" 200 31383
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:01 +0900] "GET /sagaone/img/ninngennsikkaku.jpg HTTP/1.1" 200 32316
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:04 +0900] "POST /sagaone/ItemDetailAction.action HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:10 +0900] "POST /sagaone/ItemDetailAction.action HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:29:12 +0900] "POST /sagaone/ReviewAction.action HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:30:20 +0900] "POST /sagaone/ReviewAction.action HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:30:21 +0900] "POST /sagaone/CartAction.action HTTP/1.1" 200 7421
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:30:24 +0900] "GET /sagaone/GoHomeAction HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [15/Jan/2018:19:30:24 +0900] "GET /sagaone/css/sagaone_logo.png HTTP/1.1" 404 1075
