127.0.0.1 - - [18/Jan/2018:21:57:15 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:21 +0900] "GET /sagaone/ HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/StartAction.action HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/slick/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/slick/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/css/style.css HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/img/notepc1.jpg HTTP/1.1" 200 5530
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/css/searchIcon.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/js/test.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/slick/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/js/autocomplete.js HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/css/sagaone_logo.png HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/img/kokoro.jpg HTTP/1.1" 200 11001
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/img/camera1.jpg HTTP/1.1" 200 132225
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:31 +0900] "GET /sagaone/img/keyboad1.jpg HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:32 +0900] "GET /sagaone/img/ninngennsikkaku.jpg HTTP/1.1" 200 32316
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:32 +0900] "GET /sagaone/img/kabe.jpg HTTP/1.1" 200 40874
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:32 +0900] "GET /sagaone/img/outo.jpg HTTP/1.1" 200 33280
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:32 +0900] "GET /sagaone/img/mausu.jpg HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:32 +0900] "GET /sagaone/img/hitowougokasu.jpg HTTP/1.1" 200 31383
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:32 +0900] "GET /sagaone/img/camera.jpg HTTP/1.1" 200 330933
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:36 +0900] "GET /sagaone/slick/fonts/slick.eot? HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:36 +0900] "GET /sagaone/slick/ajax-loader.gif HTTP/1.1" 200 4178
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:38 +0900] "GET /sagaone/ HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/StartAction.action;jsessionid=779A0BCA56A12AD5DDD34712347D0762 HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/css/style.css HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/slick/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/js/test.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/js/autocomplete.js HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/slick/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/slick/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/css/sagaone_logo.png HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/css/searchIcon.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/img/mausu.jpg HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/img/keyboad1.jpg HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/img/hitowougokasu.jpg HTTP/1.1" 200 31383
0:0:0:0:0:0:0:1 - - [18/Jan/2018:21:57:40 +0900] "GET /sagaone/img/ninngennsikkaku.jpg HTTP/1.1" 200 32316
