127.0.0.1 - - [20/Jan/2018:18:12:40 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:48 +0900] "GET /sagaone/ HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/StartAction.action HTTP/1.1" 200 21708
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/slick/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/js/test.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/js/autocomplete.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/slick/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/css/sagaone_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/css/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/kokoro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/notepc1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/camera.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/kabe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/outo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/hitowougokasu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/keyboad1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/camera1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/ninngennsikkaku.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:12:57 +0900] "GET /sagaone/img/mausu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:13:00 +0900] "GET /sagaone/slick/fonts/slick.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:13:01 +0900] "GET /sagaone/slick/ajax-loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:16 +0900] "POST /sagaone/ItemDetailAction.action HTTP/1.1" 200 6555
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:36 +0900] "GET /sagaone/ItemDetailAction.action HTTP/1.1" 200 18517
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:36 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/ HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/StartAction.action HTTP/1.1" 200 21708
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/js/test.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/css/style.css HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/slick/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/slick/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/js/autocomplete.js HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/slick/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/css/sagaone_logo.png HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/css/searchIcon.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:41 +0900] "GET /sagaone/img/mausu.jpg HTTP/1.1" 200 27809
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/camera.jpg HTTP/1.1" 200 45085
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/outo.jpg HTTP/1.1" 200 50595
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/js/test.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/camera1.jpg HTTP/1.1" 200 47727
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/keyboad1.jpg HTTP/1.1" 200 27562
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/ninngennsikkaku.jpg HTTP/1.1" 200 46464
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/kokoro.jpg HTTP/1.1" 200 37258
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/hitowougokasu.jpg HTTP/1.1" 200 46332
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/kabe.jpg HTTP/1.1" 200 60221
0:0:0:0:0:0:0:1 - - [20/Jan/2018:18:17:42 +0900] "GET /sagaone/img/notepc1.jpg HTTP/1.1" 200 31859
