127.0.0.1 - - [25/Jan/2018:19:37:09 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:21 +0900] "GET /sagaone/ HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:27 +0900] "GET /sagaone/css/home.css HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/slick/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/slick/slick-theme.css HTTP/1.1" 200 3160
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/css/style.css HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/js/autocomplete.js HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/css/searchIcon.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/css/sagaone_logo.png HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/printer.jpg HTTP/1.1" 200 26140
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/slick/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/top-book.jpg HTTP/1.1" 200 179260
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/top-electronics.jpg HTTP/1.1" 200 161491
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/kokoro.jpg HTTP/1.1" 200 37258
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/keyboad1.jpg HTTP/1.1" 200 27562
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/gameboy.jpg HTTP/1.1" 200 28598
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/dennwa.jpg HTTP/1.1" 200 147064
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/top-game.jpg HTTP/1.1" 200 157532
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/game-machine3.jpg HTTP/1.1" 200 24139
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/tv.jpg HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/game-machine2.jpg HTTP/1.1" 200 43563
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/cellphone1.jpg HTTP/1.1" 200 36259
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:28 +0900] "GET /sagaone/img/caliculator.jpg HTTP/1.1" 200 42164
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:33 +0900] "GET /sagaone/StartAction.action HTTP/1.1" 200 398620
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:34 +0900] "GET /sagaone/slick/fonts/slick.eot? HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:37:34 +0900] "GET /sagaone/slick/ajax-loader.gif HTTP/1.1" 200 4178
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:41:19 +0900] "GET /sagaone/slick/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:41:19 +0900] "GET /sagaone/slick/slick-theme.css HTTP/1.1" 200 3160
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:41:19 +0900] "GET /sagaone/css/home.css HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:41:19 +0900] "GET /sagaone/css/style.css HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:41:19 +0900] "GET /sagaone/js/autocomplete.js HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [25/Jan/2018:19:41:19 +0900] "GET /sagaone/slick/slick.min.js HTTP/1.1" 200 42863
